ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
59170524,A estrenar,84,m²,84,m²,19.3592226,-99.1929399,https://www.inmuebles24.com/propiedades/departamento-en-preventa-en-icon-beyond-59170524.html
60611140,3   Recámaras,93,m²,93,m²,19.5016187,-99.1212316,https://www.inmuebles24.com/propiedades/departamentos-modernos-y-con-areas-comunes-disenadas-60611140.html
60608833,10  Antigüedad,125,m²,125,m²,19.3670528,-99.1682108,https://www.inmuebles24.com/propiedades/venta-o-renta-de-departamento-del-valle-sur-df-60608833.html
60601776,1970  Antigüedad,85,m²,85,m²,19.4321322,-99.1917919,https://www.inmuebles24.com/propiedades/oportunidad-60601776.html
55959037,5  Antigüedad,80,m²,80,m²,19.442735,-99.2011113,https://www.inmuebles24.com/propiedades/depto-grand-tower-amueblado-y-equipado-2-hab-55959037.html
60508925,1   Recámara,36,m²,36,m²,19.3983971,-99.0691059,https://www.inmuebles24.com/propiedades/departamento-excelente-ubicacion-en-ote.-245-a-num.-60508925.html
60496676,A estrenar,93,m²,93,m²,19.4446709,-99.1808873,https://www.inmuebles24.com/propiedades/estrena-departamento-con-enorme-terraza-privada-a-5-60496676.html
59366378,15  Antigüedad,150,m²,150,m²,19.3832611,-99.2580054,https://www.inmuebles24.com/propiedades/hermoso-pent-house-en-venta-o-renta-en-bosques-de-las-59366378.html
59473036,28  Antigüedad,110,m²,110,m²,19.3854204,-99.1171903,https://www.inmuebles24.com/propiedades/departamento-en-venta-iztacalco-59473036.html
51617855,4  Antigüedad,115,m²,115,m²,19.4400628,-99.1830266,https://www.inmuebles24.com/propiedades/be-grand-alto-polanco-3-rec-y-bodega-51617855.html
59865338,1  Antigüedad,111,m²,111,m²,19.3989566,-99.1498878,https://www.inmuebles24.com/propiedades/departamento-en-venta-3-recamaras-59865338.html
60360388,27  Antigüedad,98,m²,98,m²,19.3352187,-99.1614622,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-pedregal-de-coyoacan-60360388.html
59891288,25  Antigüedad,84,m²,84,m²,19.4136393,-99.0841589,https://www.inmuebles24.com/propiedades/-unica-oportunidad-departamento-colonia-4-arboles-59891288.html
60332711,A estrenar,135,m²,135,m²,19.3757784,-99.1638862,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-60332711.html
60332555,A estrenar,169,m²,169,m²,19.3757784,-99.1638862,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-60332555.html
60332478,A estrenar,204,m²,204,m²,19.3757784,-99.1638862,https://www.inmuebles24.com/propiedades/kent-house-en-venta-en-del-valle-60332478.html
60270752,20  Antigüedad,130,m²,130,m²,19.3455114,-99.2134846,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lomas-san-angel-60270752.html
